Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Malawi,MWI,744.1970806,865.957498,908.3108489,948.2265195,996.2452685,1032.962881,1051.185996,1039.759359,1062.164941,1090.367208,1088.701805,1083.801421
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Malaysia,MYS,10551.65896,16310.09276,20093.26869,20687.13112,20009.19928,21107.26794,21818.87569,22590.79152,23224.18844,24194.63391,25001.61267,25668.88436
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Maldives,MDV,,9768.22998,11951.81411,12744.78319,11508.40226,12005.50462,12664.99068,12611.58587,13148.73197,13737.41416,13705.00535,14231.53415
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mali,MLI,1271.794077,1462.919767,1784.878485,1808.887626,1832.808081,1871.984744,1874.70303,1804.942604,1793.723666,1865.160622,1919.228421,1971.08448
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Malta,MLT,16176.49077,24623.95372,27696.50573,28437.73786,27529.19297,28364.79932,28618.50259,29131.73091,30050.13114,31846.18954,34087.08151,35058.43078
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Marshall Islands,MHL,2907.880972,2893.836644,3396.818863,3335.763023,3274.794201,3479.155303,3513.291213,3626.424778,3720.958116,3685.462574,3665.375373,3730.333989
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mauritania,MRT,2806.73383,2751.155549,3448.64871,3388.835433,3259.07635,3316.97478,3371.994582,3462.56176,3565.521999,3655.388509,3601.614223,3572.280392
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mauritius,MUS,7386.824387,11077.14762,14146.39842,14854.64338,15306.38801,15938.41921,16561.77098,17093.32093,17628.82937,18255.86972,18864.10566,19567.48966
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mexico,MEX,13070.44455,15682.81217,16371.75155,16293.0313,15185.53739,15715.97214,16049.36424,16394.63067,16385.05961,16622.59705,16938.60541,17206.63432
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Micronesia, Fed. Sts.",FSM,2721.056867,3119.115444,3221.063128,3167.71663,3220.976301,3297.656934,3412.906554,3343.876355,3208.682874,3130.05445,3271.267021,3253.479755
